,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_no_max_datetime,second_max_non_overlapping_value,second_no_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
2943,30,111,81,42101,1,45.783285,-108.503469,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1997,Parts per million,No Events,8539,97,Y,355,365,0,0,0.0,0.0,Certified,0,1.051294,0.604246,5.2,31-01-1997 21:00,5.2,31-01-1997 22:00,5.1,31-01-1997 20:00,5.1,31-01-1997 23:00,5.2,31-01-1997 21:00,4.9,06-11-1997 22:00,3.0,2.7,2.2,1.8,1.3,0.9,0.4,120 NORTH 27TH STREET,NORWEST 130 NORTH 27TH STREET,Montana,Yellowstone,Billings,Billings MT,22-04-2016
8456,6,37,1301,42101,1,33.92899,-118.21071,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1999,Parts per million,No Events,8754,100,Y,365,365,0,0,35.0,35.0,Certified,0,2.123612,1.66706,11.2,17-12-1999 08:00,11.1,06-01-1999 09:00,11.1,18-12-1999 08:00,11.0,06-01-1999 10:00,11.2,17-12-1999 08:00,11.1,06-01-1999 09:00,8.2,7.4,5.8,4.4,2.5,1.5,0.8,Lynwood,11220 LONG BEACH BLVD. LYNWOOD,California,Los Angeles,Lynwood,Los Angeles-Long Beach-Anaheim CA,18-04-2016
12458,32,31,22,42101,1,39.532004,-119.784982,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2005,Parts per million,No Events,8715,99,Y,363,365,0,0,0.0,0.0,Certified,0,0.513655,0.512998,3.2,14-01-2005 10:00,3.2,14-01-2005 11:00,3.2,07-12-2005 01:00,3.2,07-12-2005 02:00,3.2,14-01-2005 10:00,3.2,07-12-2005 01:00,2.3,2.0,1.6,1.3,0.7,0.3,0.1,Galletti,305 GALLETTI WAY RENO,Nevada,Washoe,Reno,Reno NV,18-04-2016
13449,27,123,50,42101,1,44.9558,-93.14585,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1999,Parts per million,No Events,8119,93,Y,338,365,0,0,0.0,0.0,Certified,0,1.172928,0.658272,5.3,14-03-1999 03:00,5.2,13-03-1999 03:00,5.1,13-03-1999 01:00,5.1,13-03-1999 02:00,5.3,14-03-1999 03:00,5.2,13-03-1999 03:00,3.3,2.8,2.3,2.0,1.5,1.1,0.5,Lexington Ave.,1088 WEST UNIVERSITY AVE.,Minnesota,Ramsey,St. Paul,Minneapolis-St. Paul-Bloomington MN-WI,19-04-2016
17180,39,49,36,42101,1,39.959561,-83.001817,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2007,Parts per million,No Events,6757,77,Y,280,365,0,0,0.0,0.0,Certification not required,0,0.295442,0.136554,1.1,02-08-2007 03:00,1.1,02-08-2007 04:00,1.1,20-09-2007 08:00,1.1,20-09-2007 09:00,1.1,02-08-2007 03:00,1.1,20-09-2007 08:00,0.7,0.6,0.5,0.5,0.4,0.3,0.2,LAZARUS CO SITE,122 S. FRONT ST.,Ohio,Franklin,Columbus,Columbus OH,12-04-2016
20842,2,20,18,42101,1,61.205861,-149.824602,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2010,Parts per million,No Events,4322,49,Y,179,365,0,0,0.0,0.0,Certification not required,0,0.874757,0.701738,4.6,28-12-2010 19:00,4.5,28-12-2010 18:00,4.4,28-12-2010 20:00,4.3,28-12-2010 17:00,4.6,28-12-2010 19:00,3.8,09-12-2010 15:00,3.2,3.0,2.4,1.8,1.1,0.7,0.3,GARDEN/TRINITY CHRISTIAN CHURCH,3000 EAST 16TH AVENUE,Alaska,Anchorage,Anchorage,Anchorage AK,10-04-2016
21921,9,3,13,42101,1,41.7426,-72.707317,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8444,96,Y,345,366,0,0,0.0,0.0,Certified,0,0.813536,0.414167,3.9,17-11-1996 05:00,3.9,17-11-1996 06:00,3.8,17-11-1996 04:00,3.8,17-11-1996 07:00,3.9,17-11-1996 05:00,3.5,19-11-1996 02:00,2.7,2.1,1.6,1.3,0.9,0.7,0.5,CAPITOL COMMUNITY TECHNICAL COLLEGE,401 FLATBUSH AVENUE,Connecticut,Hartford,Hartford,Hartford-West Hartford-East Hartford CT,25-04-2016
22822,25,25,2,42101,1,42.348873,-71.097163,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,2000,Parts per million,No Events,8001,91,Y,330,366,0,0,0.0,0.0,Certified,0,0.532033,0.344677,3.0,23-03-2000 23:00,2.9,23-03-2000 22:00,2.8,24-03-2000 00:00,2.7,23-03-2000 21:00,3.0,23-03-2000 23:00,2.3,24-03-2000 04:00,1.7,1.5,1.2,1.0,0.7,0.5,0.2,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,Boston-Cambridge-Newton MA-NH,15-04-2016
27143,9,9,25,42101,1,41.309167,-72.923333,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1997,Parts per million,No Events,8531,97,Y,353,365,0,0,0.0,0.0,Certified,0,0.90034,0.389464,4.2,17-12-1997 00:00,4.0,16-12-1997 22:00,4.0,16-12-1997 23:00,4.0,17-12-1997 01:00,4.2,17-12-1997 00:00,3.9,03-01-1997 18:00,2.3,2.0,1.6,1.3,1.1,0.8,0.5,NEW HAVEN,121 ELM STREET,Connecticut,New Haven,New Haven,New Haven-Milford CT,22-04-2016
28043,4,19,2,42101,1,32.222058,-110.974681,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Multiple Methods Used,1996,Parts per million,No Events,8696,99,Y,362,366,0,0,0.0,0.0,Certified,0,0.884901,0.615376,4.6,12-01-1996 12:00,4.6,12-01-1996 13:00,4.5,12-01-1996 11:00,4.4,08-12-1996 00:00,4.6,12-01-1996 12:00,4.4,08-12-1996 00:00,2.9,2.5,2.0,1.7,1.2,0.8,0.2,DOWNTOWN,190 W PENNINGTON TUCSON,Arizona,Pima,Tucson,Tucson AZ,16-04-2016
